section,K,separation,is_negative_control,decode_validity,recovery_margin,separation_weight,unique_predictions,modal_prediction,candidate,candidate_hamming_weight,coordinate_accuracy,hamming_distance,exact,metric,std,mean_abs,median_abs,fraction_within_3_sigma,value
per_k,1,1,True,1.0,1.0,0.00796812749003984,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.9,2,False,,,,,,
per_k,31,31,False,1.0,0.974194,0.24701195219123506,2,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,63,63,False,1.0,0.981539,0.50199203187251,3,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,94,94,False,1.0,0.981915,0.749003984063745,4,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,125,125,False,1.0,0.957625,0.9960159362549801,4,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,126,125,False,1.0,0.968229,0.9960159362549801,4,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,157,94,False,1.0,0.946681,0.749003984063745,5,3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,188,63,False,1.0,0.996825,0.50199203187251,2,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,220,31,False,1.0,0.988225,0.24701195219123506,4,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,1.0,0,True,,,,,,
per_k,250,1,True,1.0,1.0,0.00796812749003984,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.9,2,False,,,,,,
baseline,,,,,,,,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,1.0,0,True,recovered_aggregate,,,,,
baseline,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0.9,2,False,all_zeros,,,,,
baseline,,,,,,,,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,0.1,18,False,all_ones,,,,,
baseline,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",,0.8,4,False,random_weight_2,,,,,
verification,,,,,,,,,,,,,,recovered_aggregate,2.9821035216576774,2.33544921875,2.0,0.99951171875,
verification,,,,,,,,,,,,,,all_zeros,71.87900247021263,62.08837890625,64.0,0.076171875,
verification,,,,,,,,,,,,,,all_ones,72.09950043613101,62.35546875,63.0,0.07861328125,
verification,,,,,,,,,,,,,,random_weight_2,72.63432957159847,62.671875,64.0,0.08203125,
n12_vs_n20,,,,,,,,,,,,,,n12_exact_recovery,,,,,True
n12_vs_n20,,,,,,,,,,,,,,n12_k_values_exact,,,,,8
n12_vs_n20,,,,,,,,,,,,,,n12_coordinate_accuracy,,,,,1.0
n12_vs_n20,,,,,,,,,,,,,,n12_verification_pass,,,,,True
n12_vs_n20,,,,,,,,,,,,,,n12_search_space,,,,,66
n12_vs_n20,,,,,,,,,,,,,,n20_exact_recovery,,,,,True
n12_vs_n20,,,,,,,,,,,,,,n20_k_values_exact,,,,,8
n12_vs_n20,,,,,,,,,,,,,,n20_coordinate_accuracy,,,,,1.0
n12_vs_n20,,,,,,,,,,,,,,n20_verification_pass,,,,,True
n12_vs_n20,,,,,,,,,,,,,,n20_search_space,,,,,190
