stage,original_salsa,salsa_2_0,identical,class,class_name,difference,consequence,evidence
1a. coefficient range of a,"rng.randint(0, percQ_bound*Q) with percQ_bound=1.0, maxQ_prob=0 -> [0, 250]","generate_uniform_matrix, uniform [0, q) -> [0, 250]",True,A,Exact fidelity,none,Probe and training coefficient ranges agree.,generators.py get_sample; salsa/data/lwe.py
1b. sample reuse,"reuse=True, times_reused=10, num_reuse_samples=10000, K=1 BY DEFAULT",sample_reuse=1 in every completed Salsa 2.0 run (each sample fresh),False,D,Potentially behaviour-changing difference,The original recycles each distinct LWE instance ~10 times; ours never reuses.,"For a fixed number of gradient examples the original needs ~10x FEWER DISTINCT samples. The paper's 'log2 samples' counts distinct instances, so our per-sample budget is not directly comparable to theirs, and our sample-requirement extrapolations may be pessimistic by up to ~10x.",generators.py RLWE.__init__ / get_reused_sample; lattice.py register_args
2. secret generation,"rejection loop: draw idx until unset, h times -> exactly h ones","rng.choice(n, h, replace=False) -> exactly h ones",True,C,Harmless implementation difference,"Different sampling mechanism, identical distribution (uniform over size-h supports).",None. Both give exactly h ones with a uniform support.,"both reach all 66 = C(12,2) supports: True"
3. error generation,"np.int64(rng.normal(0, sigma).round()) -- ROUNDED Gaussian","exact truncated discrete Gaussian, P(x) ~ exp(-x^2/2s^2)",False,B,Intentional improvement,"Different distributions; total variation distance 0.00219, std 3.0139 vs 3.0000.","Negligible. Both are centred, integer, and of essentially the same width; the LWE relation and every metric are unaffected.","TV=0.00219, std_rounded=3.0139, std_discrete=3.0000"
4. matrix construction,"circulant(a) with the strict UPPER TRIANGLE NEGATED, then mod q (i.e. NEGACYCLIC, despite the paper saying 'circulant' and the option being named circ_rlwe)",rlwe_variant=circulant (no negation) -- what every completed run used,False,D,Potentially behaviour-changing difference,The original applies a sign flip on wrap-around; our trained runs did not. The original equals the TRANSPOSE of our negacyclic variant.,"The training distribution differs. Row sets are not the same matrices, so the function the model must learn is different, though of the same family and difficulty. Salsa 2.0 implements negacyclic and can select it by config; no completed run used it.",orig==circulant:False orig==negacyclic:False orig==negacyclic.T:True
5. integer encoding,"write_int_normal: fixed int_len = floor(log(Q, B)) + 1 digits, LSB-first","IntegerEncoder(fixed_width, digit_order='lsb_first'), width = smallest w with B^w >= q",True,A,Exact fidelity,Width formulas differ only when q is an exact power of B (never for prime q).,None for q=251.,"token-for-token identical across bases 2/7/81: True; e.g. 250 -> ['7', '3']"
6. input sequence construction,encode(row) then batch_sequences wraps with eos_index at BOTH ends; no_separator defaults to TRUE so '|' is never emitted,"<bos> + digits + <eos>, separator=false under Representation R",True,A,Exact fidelity,Identical token bodies; the two boundary tokens have different names and the original reuses one id for both ends.,None. Sequence length and content agree exactly.,original body == ours[1:-1]: True; length 10 both
7. output sequence construction,"y = output_encoder.write_int(b) (LSB-first digits), wrapped with eos at both ends by batch_sequences",<bos> + digits + <eos>,True,A,Exact fidelity,"Same digits, same order, same length.",None.,identical: True; both 2 digits + 2 markers = 4 tokens
8. vocabulary,"86 ids: 3 specials + '|' + '+' + 81 digits; eos_index=0 ('<s>'), pad_index=1 ('</s>'); '<pad>' (id 2) NEVER used; '+' never emitted",85 ids: <pad>=0 <bos>=1 <eos>=2 <sep>=3 + 81 digits,False,C,Harmless implementation difference,86 vs 85 ids; the original carries two entries it never emits under the default settings and uses one token for both sequence ends.,"None functionally. Embedding tables differ in size by one row, which is why the phase-4 counts moved by 768 parameters when V was corrected to 85.",lattice.py words/eos_index/pad_index
9. model architecture,"PAPER: gated Universal Transformer, 1024/512, 16-32/4 heads, shared layer looped 2 (enc) and 8 (dec), copy gate, ~51M parameters. SUPPLIED transformer.py: looping and gating DISABLED ('obsolete in Modern SALSA'), plain block stack, RoPE, RMSNorm","Gated Universal Transformer, 512/128, 8/4 heads, 1 shared layer per side, T_e=T_d=2, copy gate, RoPE, RMSNorm, 4,131,200 parameters",False,E,Major incompatibility,"12.3x fewer parameters than the paper. The supplied reference has REMOVED the UT looping and copy gate that the paper credits with a 14x sample-efficiency gain (Table 3), so it is not the paper's architecture either.","Capacity is the largest single deviation from the paper. Salsa 2.0 is architecturally CLOSER to the paper than the supplied fork, since it keeps sharing and gating, but is far smaller.",paper 4.2/5.3; transformer.py TransformerLayer + self.loops warnings
